x,y,z,fx,fy,fz,time
0.164735712806,-0.0256999654107,-0.0432742238324,[ 0.0277209],[ 0.06940825],[-0.0167095],2.407
0.164765856068,-0.0256430613565,-0.0432389113474,[ 0.02726665],[ 0.06832035],[-0.01656963],2.425
0.164796040678,-0.0255859825638,-0.043203423117,[ 0.02681278],[ 0.06723189],[-0.01642679],2.445
0.164826154508,-0.0255288918355,-0.0431680897851,[ 0.02636037],[ 0.06614519],[-0.01628065],2.466
0.16485630937,-0.0254716262983,-0.0431325806644,[ 0.02590837],[ 0.065058],[-0.0161315],2.487
0.164886461878,-0.0254141858958,-0.0430970605569,[ 0.02545674],[ 0.06396993],[-0.01597884],2.505
0.164916586518,-0.0253567334945,-0.0430615305536,[ 0.02500664],[ 0.06288413],[-0.01582331],2.525
0.164945764338,-0.0252989527331,-0.0430258671329,[ 0.02456084],[ 0.06180117],[-0.01566553],2.546
0.164975858295,-0.0252413137302,-0.042990316468,[ 0.02411264],[ 0.06071689],[-0.01550357],2.565
0.165006017517,-0.0251833367381,-0.0429545887524,[ 0.02366378],[ 0.05962917],[-0.01533779],2.585
0.16503513593,-0.0251253583158,-0.0429188953491,[ 0.02322136],[ 0.05855023],[-0.01517063],2.605
0.165065263557,-0.0250671944955,-0.042883146935,[ 0.02277447],[ 0.05746423],[-0.01499829],2.625
0.165094375249,-0.0250088669391,-0.0428474321828,[ 0.02233281],[ 0.05638395],[-0.01482386],2.645
0.165124513649,-0.0249505161745,-0.0428114979867,[ 0.02188801],[ 0.05530028],[-0.01464536],2.666
0.16515359304,-0.0248920023759,-0.0427757629944,[ 0.0214483],[ 0.05422192],[-0.01446429],2.685
0.165182711289,-0.0248333140556,-0.0427398522819,[ 0.02100909],[ 0.05314352],[-0.01427998],2.706
0.165211825401,-0.0247744511609,-0.0427039309809,[ 0.02057028],[ 0.05206461],[-0.01409194],2.726
0.165241898212,-0.0247157265699,-0.0426679556045,[ 0.02012957],[ 0.05098502],[-0.01389999],2.746
0.165270978966,-0.0246566771886,-0.042632014058,[ 0.0196928],[ 0.0499083],[-0.01370517],2.765
0.165300030572,-0.024597616303,-0.0425960630716,[ 0.01925759],[ 0.04883427],[-0.01350732],2.786
0.165329077534,-0.0245383807124,-0.0425601015381,[ 0.01882284],[ 0.04775987],[-0.01330566],2.806
0.165358162189,-0.0244789703642,-0.0425239641075,[ 0.01838868],[ 0.04668569],[-0.01310062],2.825
0.165387199267,-0.0244193852063,-0.0424879814754,[ 0.01795484],[ 0.04561067],[-0.01289129],2.845
0.165416249258,-0.0243597884552,-0.0424518240349,[ 0.01752277],[ 0.04453903],[-0.0126793],2.867
0.16544526963,-0.0243001801189,-0.04241565716,[ 0.01709232],[ 0.04347025],[-0.01246421],2.885
0.165471914942,-0.0242430427661,-0.0423794273074,[ 0.01668931],[ 0.04246389],[-0.01226205],2.906
0.16549705505,-0.0241893425427,-0.042343094987,[ 0.01631603],[ 0.04153177],[-0.01207622],2.927
0.165518590498,-0.0241399324568,-0.0423065969046,[ 0.01598668],[ 0.04070252],[-0.01191527],2.947
0.165559794565,-0.0239725196346,-0.0422717732633,[ 0.01482337],[ 0.03764256],[-0.01114616],2.966
0.165808172899,-0.0229216626953,-0.0422288528741,[ 0.00713203],[ 0.01778516],[-0.00553799],2.985
0.166214708831,-0.0211689231307,-0.0421758029058,[ 0.],[ 0.],[ 0.],3.007
0.166656725738,-0.0191753660943,-0.0421185756834,[ 0.],[ 0.],[ 0.],3.027
0.167054561065,-0.0172787540126,-0.0420632917297,[ 0.],[ 0.],[ 0.],3.044
0.167407422606,-0.0154931665315,-0.0420103493336,[ 0.],[ 0.],[ 0.],3.064
0.167727760441,-0.01377634422,-0.0419588413382,[ 0.],[ 0.],[ 0.],3.085
0.168022815985,-0.0121011522075,-0.0419086001634,[ 0.],[ 0.],[ 0.],3.105
0.168296237005,-0.0104487629564,-0.0418591311254,[ 0.],[ 0.],[ 0.],3.125
0.168551373362,-0.00880752878455,-0.041810448449,[ 0.],[ 0.],[ 0.],3.145
0.168788980571,-0.00716938202351,-0.0417625265536,[ 0.],[ 0.],[ 0.],3.165
0.169009489661,-0.00553120544901,-0.0417146876629,[ 0.],[ 0.],[ 0.],3.185
0.169212836822,-0.00389303403269,-0.0416674451441,[ 0.],[ 0.],[ 0.],3.204
0.169400169262,-0.00225123782057,-0.0416205848371,[ 0.],[ 0.],[ 0.],3.225
0.169571397137,-0.000603967325444,-0.0415742884532,[ 0.],[ 0.],[ 0.],3.245
0.169726311041,0.00105732926616,-0.0415287446402,[ 0.],[ 0.],[ 0.],3.265
0.169866756535,0.00272668598296,-0.0414833670757,[ 0.],[ 0.],[ 0.],3.285
0.169990279654,0.00441066229244,-0.0414386259105,[ 0.],[ 0.],[ 0.],3.305
0.17009750083,0.00611082633462,-0.0413941645884,[ 0.],[ 0.],[ 0.],3.326
